name,parent,type,size
jaraco,_vendor,dir,18932
__init__.py,text,file,60
text,jaraco,dir,15517
more.py,more_itertools,file,56
recipes.py,more_itertools,file,59
__init__.py,more_itertools,file,60
more_itertools,_vendor,dir,134297
markers.py,packaging,file,59
requirements.py,packaging,file,64
specifiers.py,packaging,file,62
tags.py,packaging,file,56
utils.py,packaging,file,57
version.py,packaging,file,59
_manylinux.py,packaging,file,62
_musllinux.py,packaging,file,62
_structures.py,packaging,file,63
__about__.py,packaging,file,61
__init__.py,packaging,file,60
packaging,_vendor,dir,96322
actions.py,pyparsing,file,59
common.py,pyparsing,file,58
core.py,pyparsing,file,56
exceptions.py,pyparsing,file,62
helpers.py,pyparsing,file,59
results.py,pyparsing,file,59
testing.py,pyparsing,file,59
unicode.py,pyparsing,file,59
util.py,pyparsing,file,56
__init__.py,pyparsing,file,60
pyparsing,_vendor,dir,346318
__init__.py,diagram,file,60
diagram,pyparsing,dir,23668
_parser.py,tomli,file,59
_re.py,tomli,file,55
_types.py,tomli,file,58
__init__.py,tomli,file,60
tomli,_vendor,dir,26226
entry_points.txt,setuptools-65.5.1.dist-info,file,65
INSTALLER,setuptools-65.5.1.dist-info,file,58
LICENSE,setuptools-65.5.1.dist-info,file,56
METADATA,setuptools-65.5.1.dist-info,file,57
RECORD,setuptools-65.5.1.dist-info,file,55
top_level.txt,setuptools-65.5.1.dist-info,file,62
WHEEL,setuptools-65.5.1.dist-info,file,54
setuptools-65.5.1.dist-info,site-packages,dir,45895
bdist_wheel.py,wheel,file,63
macosx_libfile.py,wheel,file,66
metadata.py,wheel,file,60
util.py,wheel,file,56
wheelfile.py,wheel,file,61
_setuptools_logging.py,wheel,file,71
__init__.py,wheel,file,60
__main__.py,wheel,file,60
wheel,site-packages,dir,48582
convert.py,cli,file,59
pack.py,cli,file,56
unpack.py,cli,file,58
__init__.py,cli,file,60
cli,wheel,dir,15853
__init__.py,vendored,file,60
vendored,wheel,dir,0
tags.py,packaging,file,56
_manylinux.py,packaging,file,62
_musllinux.py,packaging,file,62
__init__.py,packaging,file,60
packaging,vendored,dir,31475
entry_points.txt,wheel-0.38.4.dist-info,file,65
INSTALLER,wheel-0.38.4.dist-info,file,58
LICENSE.txt,wheel-0.38.4.dist-info,file,60
METADATA,wheel-0.38.4.dist-info,file,57
RECORD,wheel-0.38.4.dist-info,file,55
top_level.txt,wheel-0.38.4.dist-info,file,62
WHEEL,wheel-0.38.4.dist-info,file,54
